number,shape,spread,volumes
b,b,ch,6
b,b,ch,7
b,b,ch,8
d4,cr,ch,9
b,b,ch,10
b,b,ch,11
b,b,ch,12
b,b,ch,13
b,b,ch,14
b,b,ch,34
b,b,ch,35
b,b,ch,36
d3,cr,ch,37
b,b,ch,38
b,b,ch,39
b,b,ch,40
b,b,ch,41
b,b,ch,42
b,b,ch,56
b,b,ch,57
b,b,ch,58
d5,cr,ch,59
b,b,ch,60
b,b,ch,61
b,b,ch,62
b,b,ch,63
b,b,ch,64
b,b,ch,72
b,b,ch,73
b,b,ch,74
d2,cr,ch,75
b,b,ch,76
b,b,ch,77
b,b,ch,78
b,b,ch,79
b,b,ch,80
b,b,ch,94
b,b,ch,95
b,b,ch,96
d1,cr,ch,97
b,b,ch,98
b,b,ch,99
b,b,ch,100
b,b,ch,101
b,b,ch,102
b,b,ch,122
b,b,ch,123
b,b,ch,124
d4,ta,ch,125
b,b,ch,126
b,b,ch,127
b,b,ch,128
b,b,ch,129
b,b,ch,130
b,b,ch,138
b,b,ch,139
b,b,ch,140
d2,ta,ch,141
b,b,ch,142
b,b,ch,143
b,b,ch,144
b,b,ch,145
b,b,ch,146
b,b,ch,160
b,b,ch,161
b,b,ch,162
d5,ta,ch,163
b,b,ch,164
b,b,ch,165
b,b,ch,166
b,b,ch,167
b,b,ch,168
b,b,ch,182
b,b,ch,183
b,b,ch,184
d3,ta,ch,185
b,b,ch,186
b,b,ch,187
b,b,ch,188
b,b,ch,189
b,b,ch,190
b,b,ch,198
b,b,ch,199
b,b,ch,200
d1,ta,ch,201
b,b,ch,202
b,b,ch,203
b,b,ch,204
b,b,ch,205
b,b,ch,206
b,b,ch,226
b,b,ch,227
b,b,ch,228
d4,tp,ch,229
b,b,ch,230
b,b,ch,231
b,b,ch,232
b,b,ch,233
b,b,ch,234
b,b,ch,254
b,b,ch,255
b,b,ch,256
d1,tp,ch,257
b,b,ch,258
b,b,ch,259
b,b,ch,260
b,b,ch,261
b,b,ch,262
b,b,ch,270
b,b,ch,271
b,b,ch,272
d3,tp,ch,273
b,b,ch,274
b,b,ch,275
b,b,ch,276
b,b,ch,277
b,b,ch,278
b,b,ch,298
b,b,ch,299
b,b,ch,300
d2,tp,ch,301
b,b,ch,302
b,b,ch,303
b,b,ch,304
b,b,ch,305
b,b,ch,306
b,b,ch,320
b,b,ch,321
b,b,ch,322
d5,tp,ch,323
b,b,ch,324
b,b,ch,325
b,b,ch,326
b,b,ch,327
b,b,ch,328
b,b,id,348
b,b,id,349
b,b,id,350
d4,cr,id,351
b,b,id,352
b,b,id,353
b,b,id,354
b,b,id,355
b,b,id,356
b,b,id,376
b,b,id,377
b,b,id,378
d3,cr,id,379
b,b,id,380
b,b,id,381
b,b,id,382
b,b,id,383
b,b,id,384
b,b,id,398
b,b,id,399
b,b,id,400
d5,cr,id,401
b,b,id,402
b,b,id,403
b,b,id,404
b,b,id,405
b,b,id,406
b,b,id,414
b,b,id,415
b,b,id,416
d2,cr,id,417
b,b,id,418
b,b,id,419
b,b,id,420
b,b,id,421
b,b,id,422
b,b,id,436
b,b,id,437
b,b,id,438
d1,cr,id,439
b,b,id,440
b,b,id,441
b,b,id,442
b,b,id,443
b,b,id,444
b,b,id,464
b,b,id,465
b,b,id,466
d4,ta,id,467
b,b,id,468
b,b,id,469
b,b,id,470
b,b,id,471
b,b,id,472
b,b,id,480
b,b,id,481
b,b,id,482
d2,ta,id,483
b,b,id,484
b,b,id,485
b,b,id,486
b,b,id,487
b,b,id,488
b,b,id,502
b,b,id,503
b,b,id,504
d5,ta,id,505
b,b,id,506
b,b,id,507
b,b,id,508
b,b,id,509
b,b,id,510
b,b,id,524
b,b,id,525
b,b,id,526
d3,ta,id,527
b,b,id,528
b,b,id,529
b,b,id,530
b,b,id,531
b,b,id,532
b,b,id,540
b,b,id,541
b,b,id,542
d1,ta,id,543
b,b,id,544
b,b,id,545
b,b,id,546
b,b,id,547
b,b,id,548
b,b,id,568
b,b,id,569
b,b,id,570
d4,tp,id,571
b,b,id,572
b,b,id,573
b,b,id,574
b,b,id,575
b,b,id,576
b,b,id,596
b,b,id,597
b,b,id,598
d1,tp,id,599
b,b,id,600
b,b,id,601
b,b,id,602
b,b,id,603
b,b,id,604
b,b,id,612
b,b,id,613
b,b,id,614
d3,tp,id,615
b,b,id,616
b,b,id,617
b,b,id,618
b,b,id,619
b,b,id,620
b,b,id,640
b,b,id,641
b,b,id,642
d2,tp,id,643
b,b,id,644
b,b,id,645
b,b,id,646
b,b,id,647
b,b,id,648
b,b,id,662
b,b,id,663
b,b,id,664
d5,tp,id,665
b,b,id,666
b,b,id,667
b,b,id,668
b,b,id,669
b,b,id,670
b,b,ch,690
b,b,ch,691
b,b,ch,692
d4,cr,ch,693
b,b,ch,694
b,b,ch,695
b,b,ch,696
b,b,ch,697
b,b,ch,698
b,b,ch,718
b,b,ch,719
b,b,ch,720
d3,cr,ch,721
b,b,ch,722
b,b,ch,723
b,b,ch,724
b,b,ch,725
b,b,ch,726
b,b,ch,740
b,b,ch,741
b,b,ch,742
d5,cr,ch,743
b,b,ch,744
b,b,ch,745
b,b,ch,746
b,b,ch,747
b,b,ch,748
b,b,ch,756
b,b,ch,757
b,b,ch,758
d2,cr,ch,759
b,b,ch,760
b,b,ch,761
b,b,ch,762
b,b,ch,763
b,b,ch,764
b,b,ch,778
b,b,ch,779
b,b,ch,780
d1,cr,ch,781
b,b,ch,782
b,b,ch,783
b,b,ch,784
b,b,ch,785
b,b,ch,786
b,b,ch,806
b,b,ch,807
b,b,ch,808
d4,ta,ch,809
b,b,ch,810
b,b,ch,811
b,b,ch,812
b,b,ch,813
b,b,ch,814
b,b,ch,822
b,b,ch,823
b,b,ch,824
d2,ta,ch,825
b,b,ch,826
b,b,ch,827
b,b,ch,828
b,b,ch,829
b,b,ch,830
b,b,ch,844
b,b,ch,845
b,b,ch,846
d5,ta,ch,847
b,b,ch,848
b,b,ch,849
b,b,ch,850
b,b,ch,851
b,b,ch,852
b,b,ch,866
b,b,ch,867
b,b,ch,868
d3,ta,ch,869
b,b,ch,870
b,b,ch,871
b,b,ch,872
b,b,ch,873
b,b,ch,874
b,b,ch,882
b,b,ch,883
b,b,ch,884
d1,ta,ch,885
b,b,ch,886
b,b,ch,887
b,b,ch,888
b,b,ch,889
b,b,ch,890
b,b,ch,910
b,b,ch,911
b,b,ch,912
d4,tp,ch,913
b,b,ch,914
b,b,ch,915
b,b,ch,916
b,b,ch,917
b,b,ch,918
b,b,ch,938
b,b,ch,939
b,b,ch,940
d1,tp,ch,941
b,b,ch,942
b,b,ch,943
b,b,ch,944
b,b,ch,945
b,b,ch,946
b,b,ch,954
b,b,ch,955
b,b,ch,956
d3,tp,ch,957
b,b,ch,958
b,b,ch,959
b,b,ch,960
b,b,ch,961
b,b,ch,962
b,b,ch,982
b,b,ch,983
b,b,ch,984
d2,tp,ch,985
b,b,ch,986
b,b,ch,987
b,b,ch,988
b,b,ch,989
b,b,ch,990
b,b,ch,1004
b,b,ch,1005
b,b,ch,1006
d5,tp,ch,1007
b,b,ch,1008
b,b,ch,1009
b,b,ch,1010
b,b,ch,1011
b,b,ch,1012
b,b,id,1032
b,b,id,1033
b,b,id,1034
d4,cr,id,1035
b,b,id,1036
b,b,id,1037
b,b,id,1038
b,b,id,1039
b,b,id,1040
b,b,id,1060
b,b,id,1061
b,b,id,1062
d3,cr,id,1063
b,b,id,1064
b,b,id,1065
b,b,id,1066
b,b,id,1067
b,b,id,1068
b,b,id,1082
b,b,id,1083
b,b,id,1084
d5,cr,id,1085
b,b,id,1086
b,b,id,1087
b,b,id,1088
b,b,id,1089
b,b,id,1090
b,b,id,1098
b,b,id,1099
b,b,id,1100
d2,cr,id,1101
b,b,id,1102
b,b,id,1103
b,b,id,1104
b,b,id,1105
b,b,id,1106
b,b,id,1120
b,b,id,1121
b,b,id,1122
d1,cr,id,1123
b,b,id,1124
b,b,id,1125
b,b,id,1126
b,b,id,1127
b,b,id,1128
b,b,id,1148
b,b,id,1149
b,b,id,1150
d4,ta,id,1151
b,b,id,1152
b,b,id,1153
b,b,id,1154
b,b,id,1155
b,b,id,1156
b,b,id,1164
b,b,id,1165
b,b,id,1166
d2,ta,id,1167
b,b,id,1168
b,b,id,1169
b,b,id,1170
b,b,id,1171
b,b,id,1172
b,b,id,1186
b,b,id,1187
b,b,id,1188
d5,ta,id,1189
b,b,id,1190
b,b,id,1191
b,b,id,1192
b,b,id,1193
b,b,id,1194
b,b,id,1208
b,b,id,1209
b,b,id,1210
d3,ta,id,1211
b,b,id,1212
b,b,id,1213
b,b,id,1214
b,b,id,1215
b,b,id,1216
b,b,id,1224
b,b,id,1225
b,b,id,1226
d1,ta,id,1227
b,b,id,1228
b,b,id,1229
b,b,id,1230
b,b,id,1231
b,b,id,1232
b,b,id,1252
b,b,id,1253
b,b,id,1254
d4,tp,id,1255
b,b,id,1256
b,b,id,1257
b,b,id,1258
b,b,id,1259
b,b,id,1260
b,b,id,1280
b,b,id,1281
b,b,id,1282
d1,tp,id,1283
b,b,id,1284
b,b,id,1285
b,b,id,1286
b,b,id,1287
b,b,id,1288
b,b,id,1296
b,b,id,1297
b,b,id,1298
d3,tp,id,1299
b,b,id,1300
b,b,id,1301
b,b,id,1302
b,b,id,1303
b,b,id,1304
b,b,id,1324
b,b,id,1325
b,b,id,1326
d2,tp,id,1327
b,b,id,1328
b,b,id,1329
b,b,id,1330
b,b,id,1331
b,b,id,1332
b,b,id,1346
b,b,id,1347
b,b,id,1348
d5,tp,id,1349
b,b,id,1350
b,b,id,1351
b,b,id,1352
b,b,id,1353
b,b,id,1354
b,b,ch,1374
b,b,ch,1375
b,b,ch,1376
d4,cr,ch,1377
b,b,ch,1378
b,b,ch,1379
b,b,ch,1380
b,b,ch,1381
b,b,ch,1382
b,b,ch,1402
b,b,ch,1403
b,b,ch,1404
d3,cr,ch,1405
b,b,ch,1406
b,b,ch,1407
b,b,ch,1408
b,b,ch,1409
b,b,ch,1410
b,b,ch,1424
b,b,ch,1425
b,b,ch,1426
d5,cr,ch,1427
b,b,ch,1428
b,b,ch,1429
b,b,ch,1430
b,b,ch,1431
b,b,ch,1432
b,b,ch,1440
b,b,ch,1441
b,b,ch,1442
d2,cr,ch,1443
b,b,ch,1444
b,b,ch,1445
b,b,ch,1446
b,b,ch,1447
b,b,ch,1448
b,b,ch,1462
b,b,ch,1463
b,b,ch,1464
d1,cr,ch,1465
b,b,ch,1466
b,b,ch,1467
b,b,ch,1468
